@relation 'StressLevelDataset-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3,10,14,16'

@attribute anxiety_level numeric
@attribute self_esteem numeric
@attribute headache numeric
@attribute blood_pressure numeric
@attribute sleep_quality numeric
@attribute breathing_problem numeric
@attribute noise_level numeric
@attribute living_conditions numeric
@attribute basic_needs numeric
@attribute academic_performance numeric
@attribute study_load numeric
@attribute future_career_concerns numeric
@attribute peer_pressure numeric
@attribute extracurricular_activities numeric
@attribute bullying numeric
@attribute stress_level numeric

@data
14,20,2,1,2,4,2,3,2,3,2,3,3,3,2,1
15,8,5,3,1,4,3,1,2,1,4,5,4,5,5,2
12,18,2,1,2,2,2,2,2,2,3,2,3,2,2,1
16,12,4,3,1,3,4,2,2,2,4,4,4,4,5,2
16,28,2,3,5,1,3,2,3,4,3,2,5,0,5,1
20,13,3,3,1,4,3,2,1,2,5,5,4,4,5,2
4,26,1,2,4,1,1,4,4,5,1,1,2,2,1,0
17,3,4,3,1,5,3,1,1,1,3,4,4,4,5,2
13,22,3,1,2,4,3,3,3,3,3,3,3,2,2,1
6,8,4,3,1,2,0,5,2,2,2,5,5,3,4,1
17,12,4,3,1,3,4,2,1,1,3,4,4,4,5,2
17,15,3,3,1,5,5,2,1,1,3,4,5,5,4,2
5,28,1,2,4,2,2,3,5,5,2,1,1,1,1,0
9,23,4,3,1,0,1,2,3,1,2,3,1,0,1,2
2,28,1,2,4,2,1,3,4,4,2,1,1,2,1,0
11,21,3,1,2,4,2,2,2,3,3,3,3,2,2,1
6,28,1,2,4,2,1,4,4,5,1,1,2,2,1,0
7,25,1,2,4,2,2,4,4,4,2,1,1,1,1,0
11,23,3,1,2,2,3,2,3,2,3,2,3,2,3,1
21,1,4,3,1,4,4,1,1,1,5,5,4,4,5,2
3,27,1,2,4,1,1,3,4,5,2,1,1,2,1,0
18,1,4,3,1,3,5,1,2,2,5,4,4,4,5,2
7,27,1,2,4,1,1,3,5,4,2,1,1,2,1,0
20,5,3,3,1,4,4,2,2,1,3,4,5,4,4,2
13,21,3,1,2,2,3,2,3,3,2,2,3,3,2,1
6,26,1,2,5,2,2,4,4,4,1,1,2,1,1,0
18,6,5,3,1,5,3,2,1,1,3,4,5,5,4,2
7,28,2,3,3,1,5,1,5,4,0,2,1,2,2,0
13,23,2,1,3,2,3,3,3,3,2,2,2,2,3,1
17,6,3,3,1,3,5,1,1,2,3,4,4,5,4,2
0,27,1,2,5,1,2,4,4,4,2,1,2,2,1,0
15,8,4,3,0,4,1,3,5,3,4,4,0,2,1,1
15,9,4,3,1,4,5,2,2,2,3,4,4,4,4,2
9,23,2,1,2,2,2,3,2,3,3,2,3,2,3,1
7,25,1,2,4,1,1,4,5,5,2,1,1,1,1,0
9,22,2,1,2,2,3,3,3,2,3,2,3,2,2,1
12,21,2,1,3,2,2,3,3,2,2,2,2,2,3,1
7,27,1,2,5,2,2,4,5,5,2,1,1,1,1,0
21,6,3,3,1,3,5,1,1,1,4,4,5,4,4,2
5,25,1,2,5,1,1,4,4,5,1,1,1,1,1,0
5,29,1,2,5,2,2,4,5,4,2,1,2,2,1,0
8,30,1,2,4,1,2,4,5,5,2,1,1,2,1,0
1,27,1,2,5,1,2,3,5,5,1,1,2,2,1,0
19,9,3,3,1,3,3,2,1,2,3,4,5,4,4,2
15,4,4,3,1,4,5,2,2,2,3,5,5,5,4,2
